engine_size,weight,horsepower,mileage
1000,800,60,22
1200,900,80,20
1500,1100,100,17
1800,1200,130,15
2000,1400,150,13
800,700,50,25
1600,1150,110,16
1400,1000,90,18
1100,850,70,21
1300,950,85,19
1700,1180,120,15
1900,1300,140,14
800,650,45,22
1000,720,60,20
1200,850,80,19
1500,1000,100,17
1800,1200,130,15
2000,1300,150,13
2200,1450,170,12
2500,1500,190,11
3000,1600,250,10
3500,1700,300,9
4000,1850,350,8
4500,1900,400,7
5000,2000,450,6
650,560,40,23
900,700,55,21
1400,900,95,18
1600,1020,108,16
1750,1100,118,15
1900,1250,140,14
2100,1350,155,13
2300,1450,165,12
2600,1550,210,10
3200,1650,280,9
3800,1800,330,8
4200,1900,370,7
4700,1950,410,6
5200,2050,480,5
5800,2150,520,4
760,600,42,22
1100,780,68,20
1350,900,88,18
1550,980,105,17
1750,1050,118,16
1950,1150,135,14
2150,1300,150,13
2400,1400,175,12
2900,1500,230,10
3300,1650,260,9
3600,1750,290,8
4100,1850,340,7
4600,1950,380,6
5100,2050,430,5
5500,2150,470,4
6000,2250,520,3
4395,1850,627,7
3999,1800,612,8
4000,1950,630,6
3996,2060,591,7
3996,1920,572,8
5204,1650,631,6
5204,1422,602,6
3902,1470,710,5
3498,1830,600,7
3799,1760,565,7
6162,1970,717,5
5950,2240,626,5
6749,2470,563,4
3996,1890,591,7
3996,2030,630,6
