area,bedrooms,age,price
1200,2,10,180000
1500,3,8,220000
800,2,20,120000
2000,4,5,310000
1800,3,7,275000
1000,2,15,150000
1700,3,6,260000
900,2,12,130000
1600,3,9,240000
1400,3,10,200000
2100,4,4,330000
2200,4,3,350000
1300,2,12,165000
1900,3,5,290000
2300,4,2,360000
1100,2,14,145000
2400,4,1,380000
1250,2,11,170000
1750,3,6,255000
1550,3,8,230000
713,3,23,15600000
714,4,4,20300000
720,2,15,14000000
721,2,19,15100000
734,5,9,23500000
740,3,8,16700000
764,2,11,15700000
787,1,12,12700000
791,3,10,18000000
795,2,12,15300000
798,2,11,14800000
821,2,1,20100000
830,3,4,20400000
834,3,11,17400000
861,5,8,21900000
866,4,15,21100000
887,5,17,20900000
889,3,21,17300000
900,4,8,20600000
901,5,6,26800000
905,3,10,21200000
906,3,10,18900000
916,5,15,23500000
930,2,3,20000000
930,2,17,16800000
941,3,11,20500000
952,5,4,25700000
969,2,20,15700000
976,3,4,22000000
988,3,21,18500000
995,4,3,26000000
1015,5,19,25400000
1030,2,24,14900000
1037,3,23,18400000
1043,2,11,20700000
1078,5,12,27900000
1079,3,16,19200000
1085,1,21,17300000
1087,2,1,23600000
1091,5,19,26300000
1092,3,22,17900000
1097,4,13,21500000
1101,3,9,23900000
1106,2,15,19100000
1118,3,24,18600000
1155,5,10,26000000
1159,2,16,18000000
1166,3,21,19100000
1174,3,20,21600000
1184,3,9,25200000
1192,3,6,21700000
1202,3,14,24400000
1202,3,9,25000000
1208,2,0,22900000
1210,3,3,26900000
1220,3,16,24200000
1224,4,7,25600000
1240,2,5,21700000
1262,5,19,26100000
1263,2,6,24000000
1264,4,0,30200000
1265,3,17,25000000
1292,4,16,23500000
1300,1,16,20600000
1312,3,22,22100000
1342,1,24,17800000
1346,4,3,28700000
1347,1,22,19800000
1383,4,24,23100000
1386,4,3,27700000
1399,3,22,25400000
1402,4,7,30900000
1419,2,4,25500000
1425,3,19,23200000
1429,3,1,26500000
1442,2,16,22400000
1447,3,11,26800000
1448,3,1,25900000
1463,3,3,29000000
1466,1,6,23900000
1469,2,2,25100000
1475,5,7,34200000
1476,4,17,26800000
1479,5,6,29200000
1491,3,2,29900000
1494,3,2,30900000
1504,4,2,28700000
1505,3,4,25500000
1515,3,17,26600000
1531,4,0,28700000
1540,2,23,24300000
1556,1,15,23500000
1560,2,22,25500000
1563,1,11,24100000
1570,1,4,26900000
1571,2,15,25500000
1578,3,2,27300000
1591,5,14,29300000
1597,2,0,25600000
1629,1,13,24600000
1655,2,11,29200000
1655,2,13,28300000
1657,2,4,28700000
1657,3,1,28700000
1660,3,3,27800000
1675,1,9,27200000
1695,2,3,29300000
1716,2,20,26900000
1717,2,11,25900000
1720,4,13,28100000
1721,4,1,35800000
1725,4,13,28300000
1728,2,12,28300000
1738,2,10,29500000
1744,4,0,34300000
1751,3,18,26300000
1756,2,19,24600000
1759,5,18,31000000
1764,3,23,26700000
1771,3,18,27700000
1776,2,16,24500000
1782,3,6,31700000
1786,3,2,32800000
1795,2,20,24300000
1804,4,11,32200000
1809,4,21,29400000
1823,2,0,28500000
1826,4,4,36200000
1829,4,2,37900000
1830,3,11,29900000
1852,4,12,32900000
1854,3,4,35600000
1862,2,8,31800000
1880,3,22,29600000
1883,1,15,24000000
1884,4,14,36000000
1894,2,4,31100000
1915,2,24,24600000
1938,5,15,35200000
1941,1,20,23800000
1964,3,5,33300000
1966,3,0,32500000
1967,4,18,33500000
1975,3,24,30000000
1994,2,8,32900000
1994,3,12,33200000
1997,4,22,30300000
2032,2,22,28200000
2037,5,13,37200000
2063,3,18,29100000
2067,3,22,30400000
2069,3,2,38400000
2090,2,4,35300000
2096,3,20,29700000
2111,2,11,30600000
2113,4,18,36900000
2130,4,8,37000000
2137,3,18,36100000
2151,3,0,37500000
2159,3,20,35800000
2178,5,2,37800000
2182,3,7,35500000
2184,4,11,34800000
2185,2,23,28200000
2185,1,15,28400000
2195,5,24,35700000
2199,3,4,34900000
2200,5,16,40200000
2208,3,12,36400000
2213,2,16,31200000
2215,2,15,30700000
2222,4,16,39700000
2228,2,23,34000000
2270,2,20,30100000
2277,2,17,34500000
2279,3,18,34400000
2284,2,15,33100000
2285,2,12,33400000
2290,3,9,35600000
2297,2,20,33600000
2298,2,9,34600000
2338,2,14,33700000
2378,3,4,38300000
2385,3,21,38600000
2387,3,6,40300000
2398,2,15,34700000
2405,3,0,36200000
2414,4,8,39300000
2422,3,12,36300000
2424,3,0,42300000
2425,3,24,35400000
2448,4,9,40900000
2450,1,3,37000000
2451,2,4,35100000
2457,5,7,44900000
2462,2,20,31900000
2472,3,8,42000000
2492,3,6,39700000
2495,4,22,38900000
2496,1,18,33300000
